TEAM                 P    GF   GA   GD
Astana               7    7    3    +4    
Irtysh               7    6    2    +4    
Shakhter             5    6    3    +3    
Tobol                5    5    3    +2    
Kairat               5    7    8    -1   
Okzhetpes            4    6    5    +1    
Ordabasy             4    6    5    +1    
Zhetysu              4    5    6    -1   
Aktobe               4    5    7    -2   
Taraz                1    4    7    -3   
Atyrau               1    3    8    -5   
Kaisar               0    3    6    -3   
